site.sp,sp,site,median.coeff,ind95,ind80,cont,rls,mass,class,guild,sitesp,nyears,Category,T75_Loss_SampleArea_Ha,T75_Loss_SampleArea_Pct,T75_Loss_SampleArea_Ha_Round,T75_Loss_SampleArea_Pct_Round,T75_Loss_ZOI_Ha,T75_Loss_ZOI_Pct,T75_Loss_ZOI_Ha_Round,T75_Loss_ZOI_Pct_Round,poaching_level,protection_level,site_type
Leopardus pardalis-CAX,Leopardus pardalis,CAX,-0.210671445,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Leopardus pardalis-COU,Leopardus pardalis,COU,0.965398231,increasing,increasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Leopardus pardalis-CSN,Leopardus pardalis,CSN,-0.011782393,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Leopardus pardalis-MAN,Leopardus pardalis,MAN,-3.280911216,decreasing,decreasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Leopardus pardalis-VB,Leopardus pardalis,VB,-0.258367611,decreasing,decreasing,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Leopardus pardalis-YAN,Leopardus pardalis,YAN,0.374190218,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Leopardus pardalis-YAS,Leopardus pardalis,YAS,-7.11E-10,stable,stable,LA,LC,11900,MAMMALIA,Carnivore,Leopardus pardalis-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Leopardus tigrinus-COU,Leopardus tigrinus,COU,1.958402426,increasing,increasing,LA,VU,2250,MAMMALIA,Carnivore,Leopardus tigrinus-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Leopardus tigrinus-CSN,Leopardus tigrinus,CSN,-0.271485796,stable,stable,LA,VU,2250,MAMMALIA,Carnivore,Leopardus tigrinus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Leopardus wiedii-BCI,Leopardus wiedii,BCI,0.426880056,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Leopardus wiedii-CAX,Leopardus wiedii,CAX,0.116403595,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Leopardus wiedii-COU,Leopardus wiedii,COU,-0.261366506,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Leopardus wiedii-CSN,Leopardus wiedii,CSN,-0.022932989,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Leopardus wiedii-MAN,Leopardus wiedii,MAN,23.44152321,increasing,increasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Leopardus wiedii-VB,Leopardus wiedii,VB,2.54E-10,stable,stable,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Leopardus wiedii-YAN,Leopardus wiedii,YAN,-0.862930592,stable,decreasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Leopardus wiedii-YAS,Leopardus wiedii,YAS,0.321098685,stable,increasing,LA,NT,3250,MAMMALIA,Carnivore,Leopardus wiedii-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Leopoldamys sabanus-NAK,Leopoldamys sabanus,NAK,-0.205756199,stable,stable,AS,LC,391,MAMMALIA,Insectivore,Leopoldamys sabanus-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Leopoldamys sabanus-PSH,Leopoldamys sabanus,PSH,0.812134289,increasing,increasing,AS,LC,391,MAMMALIA,Insectivore,Leopoldamys sabanus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Leptailurus serval-BIF,Leptailurus serval,BIF,0.784053621,stable,increasing,AF,LC,12000,MAMMALIA,Carnivore,Leptailurus serval-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Leptailurus serval-UDZ,Leptailurus serval,UDZ,-5.90E-16,stable,stable,AF,LC,12000,MAMMALIA,Carnivore,Leptailurus serval-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Leptotila cassini-BCI,Leptotila cassini,BCI,-0.598563372,decreasing,decreasing,LA,LC,156,AVES,Omnivore,Leptotila cassini-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Leptotila rufaxilla-COU,Leptotila rufaxilla,COU,0.508631987,increasing,increasing,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Leptotila rufaxilla-CSN,Leptotila rufaxilla,CSN,0.476054856,increasing,increasing,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Leptotila rufaxilla-YAS,Leptotila rufaxilla,YAS,-0.254719875,stable,stable,LA,LC,155,AVES,Omnivore,Leptotila rufaxilla-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Leptotila verreauxi-BCI,Leptotila verreauxi,BCI,-0.205756199,stable,stable,LA,LC,155,AVES,Omnivore,Leptotila verreauxi-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Leptotila verreauxi-MAN,Leptotila verreauxi,MAN,22.7312816,stable,stable,LA,LC,155,AVES,Omnivore,Leptotila verreauxi-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Lophotibis cristata-RNF,Lophotibis cristata,RNF,0.053618563,stable,stable,AF,NT,850,AVES,Omnivore,Lophotibis cristata-RNF,4,III,49.44455469,0.352613898,49,0.35,6935.974391,7.854582763,6936,7.85,low,fair,settled
Lophura diardi-NAK,Lophura diardi,NAK,0.124717797,stable,stable,AS,LC,1041,AVES,Omnivore,Lophura diardi-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Lophura ignita-PSH,Lophura ignita,PSH,1.259075163,stable,increasing,AS,NT,1815,AVES,Omnivore,Lophura ignita-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Lophura nycthemera-NAK,Lophura nycthemera,NAK,0.020876354,stable,stable,AS,LC,1358,AVES,Omnivore,Lophura nycthemera-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Loxodonta africana-BIF,Loxodonta africana,BIF,0.738286303,increasing,increasing,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Loxodonta africana-KRP,Loxodonta africana,KRP,0.234172567,stable,stable,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Loxodonta africana-NNN,Loxodonta africana,NNN,-0.329678073,decreasing,decreasing,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Loxodonta africana-UDZ,Loxodonta africana,UDZ,0.09117506,stable,stable,AF,VU,3940034,MAMMALIA,Herbivore,Loxodonta africana-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Lutra lutra-BBS,Lutra lutra,BBS,0.205756199,stable,stable,AS,NT,11000,MAMMALIA,Carnivore,Lutra lutra-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Macaca arctoides-NAK,Macaca arctoides,NAK,0.426880056,stable,stable,AS,VU,5000,MAMMALIA,Omnivore,Macaca arctoides-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Macaca assamensis-NAK,Macaca assamensis,NAK,-0.301472437,stable,stable,AS,NT,12000,MAMMALIA,Omnivore,Macaca assamensis-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Macaca fascicularis-BBS,Macaca fascicularis,BBS,-0.423216072,stable,stable,AS,LC,4750,MAMMALIA,Omnivore,Macaca fascicularis-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Macaca fascicularis-PSH,Macaca fascicularis,PSH,0.54599704,increasing,increasing,AS,LC,4750,MAMMALIA,Omnivore,Macaca fascicularis-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Macaca leonina-NAK,Macaca leonina,NAK,0.014354596,stable,stable,AS,VU,6093,MAMMALIA,Omnivore,Macaca leonina-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Macaca nemestrina-BBS,Macaca nemestrina,BBS,-0.930298386,decreasing,decreasing,AS,VU,6500,MAMMALIA,Omnivore,Macaca nemestrina-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Macaca nemestrina-PSH,Macaca nemestrina,PSH,0.846033095,increasing,increasing,AS,VU,6500,MAMMALIA,Omnivore,Macaca nemestrina-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Mandrillus leucophaeus-KRP,Mandrillus leucophaeus,KRP,0.068230599,stable,stable,AF,EN,15000,MAMMALIA,Omnivore,Mandrillus leucophaeus-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Manis javanica-BBS,Manis javanica,BBS,-0.081852097,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Manis javanica-NAK,Manis javanica,NAK,0.423216072,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Manis javanica-PSH,Manis javanica,PSH,0.313325238,stable,stable,AS,EN,5150,MAMMALIA,Insectivore,Manis javanica-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Martes flavigula-NAK,Martes flavigula,NAK,-0.430611465,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,Martes flavigula-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Martes flavigula-PSH,Martes flavigula,PSH,-0.261366508,stable,stable,AS,LC,1185,MAMMALIA,Omnivore,Martes flavigula-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Mazama americana-CAX,Mazama americana,CAX,-0.603262942,decreasing,decreasing,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Mazama americana-COU,Mazama americana,COU,-0.159118391,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Mazama americana-CSN,Mazama americana,CSN,0.034336204,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Mazama americana-MAN,Mazama americana,MAN,-0.269780862,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Mazama americana-YAN,Mazama americana,YAN,-0.227623289,stable,decreasing,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Mazama americana-YAS,Mazama americana,YAS,-0.034517409,stable,stable,LA,DD,22800,MAMMALIA,Herbivore,Mazama americana-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Mazama gouazoubira-CSN,Mazama gouazoubira,CSN,0.422096443,stable,stable,LA,LC,8000,MAMMALIA,Herbivore,Mazama gouazoubira-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Mazama nemorivaga-CAX,Mazama nemorivaga,CAX,3.27E-17,stable,stable,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Mazama nemorivaga-CSN,Mazama nemorivaga,CSN,-0.088575792,stable,stable,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Mazama nemorivaga-MAN,Mazama nemorivaga,MAN,1.54702598,increasing,increasing,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Mazama nemorivaga-YAS,Mazama nemorivaga,YAS,0.201896799,increasing,increasing,LA,LC,672,MAMMALIA,Herbivore,Mazama nemorivaga-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Mazama temama-BCI,Mazama temama,BCI,-0.006838149,stable,stable,LA,DD,2100,MAMMALIA,Herbivore,Mazama temama-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Mazama temama-VB,Mazama temama,VB,0.169839378,increasing,increasing,LA,DD,2100,MAMMALIA,Herbivore,Mazama temama-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Mellivora capensis-BIF,Mellivora capensis,BIF,-0.432503066,stable,decreasing,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Mellivora capensis-NNN,Mellivora capensis,NNN,0.181527975,stable,increasing,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Mellivora capensis-UDZ,Mellivora capensis,UDZ,0.093877554,stable,stable,AF,LC,9000,MAMMALIA,Carnivore,Mellivora capensis-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Melogale personata-NAK,Melogale personata,NAK,-0.205756199,stable,stable,AS,DD,1703,MAMMALIA,Insectivore,Melogale personata-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Metachirus nudicaudatus-BCI,Metachirus nudicaudatus,BCI,0.168127551,stable,stable,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Metachirus nudicaudatus-CAX,Metachirus nudicaudatus,CAX,0.514990129,increasing,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Metachirus nudicaudatus-CSN,Metachirus nudicaudatus,CSN,0.064944111,stable,increasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Metachirus nudicaudatus-MAN,Metachirus nudicaudatus,MAN,-0.608955089,stable,decreasing,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Metachirus nudicaudatus-VB,Metachirus nudicaudatus,VB,-0.11003225,stable,stable,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Metachirus nudicaudatus-YAN,Metachirus nudicaudatus,YAN,0.658483545,stable,stable,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Metachirus nudicaudatus-YAS,Metachirus nudicaudatus,YAS,0.178089533,stable,stable,LA,LC,375,MAMMALIA,Omnivore,Metachirus nudicaudatus-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Mitu salvini-YAS,Mitu salvini,YAS,0.266248411,stable,increasing,LA,LC,3100,AVES,Omnivore,Mitu salvini-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Mitu tuberosum-CAX,Mitu tuberosum,CAX,-0.133597661,stable,stable,LA,LC,3060,AVES,Omnivore,Mitu tuberosum-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Mitu tuberosum-COU,Mitu tuberosum,COU,0.156677003,stable,stable,LA,LC,3060,AVES,Omnivore,Mitu tuberosum-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Mitu tuberosum-YAN,Mitu tuberosum,YAN,0.287387422,stable,increasing,LA,LC,3060,AVES,Omnivore,Mitu tuberosum-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Mungos mungo-UDZ,Mungos mungo,UDZ,-0.231915466,stable,stable,AF,LC,1925,MAMMALIA,Insectivore,Mungos mungo-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Muntiacus montanus-PSH,Muntiacus montanus,PSH,1.583223254,increasing,increasing,AS,DD,18939,MAMMALIA,Herbivore,Muntiacus montanus-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Muntiacus muntjak-BBS,Muntiacus muntjak,BBS,-0.59082849,stable,decreasing,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Muntiacus muntjak-NAK,Muntiacus muntjak,NAK,-2.53E-16,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak-NAK,4,III,30.30208567,0.137295898,30,0.14,85641.82747,9.830994328,85642,9.83,high,fair,settled
Muntiacus muntjak-PSH,Muntiacus muntjak,PSH,0.340800194,stable,stable,AS,LC,14000,MAMMALIA,Herbivore,Muntiacus muntjak-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Myoprocta acouchy-CSN,Myoprocta acouchy,CSN,-0.097238401,decreasing,decreasing,LA,LC,600,MAMMALIA,Herbivore,Myoprocta acouchy-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Myoprocta acouchy-MAN,Myoprocta acouchy,MAN,-0.565938254,decreasing,decreasing,LA,LC,600,MAMMALIA,Herbivore,Myoprocta acouchy-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Myoprocta pratti-COU,Myoprocta pratti,COU,0.612314135,increasing,increasing,LA,LC,1880,MAMMALIA,Herbivore,Myoprocta pratti-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Myoprocta pratti-YAS,Myoprocta pratti,YAS,-0.344730809,decreasing,decreasing,LA,LC,1880,MAMMALIA,Herbivore,Myoprocta pratti-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Myrmecophaga tridactyla-CAX,Myrmecophaga tridactyla,CAX,-0.407620886,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Myrmecophaga tridactyla-COU,Myrmecophaga tridactyla,COU,-0.615716697,stable,decreasing,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Myrmecophaga tridactyla-CSN,Myrmecophaga tridactyla,CSN,-0.197322716,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Myrmecophaga tridactyla-MAN,Myrmecophaga tridactyla,MAN,0.552347834,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Myrmecophaga tridactyla-YAN,Myrmecophaga tridactyla,YAN,4.52E-16,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Myrmecophaga tridactyla-YAS,Myrmecophaga tridactyla,YAS,-0.024849822,stable,stable,LA,VU,22333,MAMMALIA,Insectivore,Myrmecophaga tridactyla-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Nandinia binotata-BIF,Nandinia binotata,BIF,1.28E-16,stable,stable,AF,LC,2000,MAMMALIA,Omnivore,Nandinia binotata-BIF,4,III,66.63555231,0.299825806,67,0.3,3599.632613,4.707070082,3600,4.71,low,fair,settled
Nandinia binotata-KRP,Nandinia binotata,KRP,0.737509994,stable,increasing,AF,LC,2000,MAMMALIA,Omnivore,Nandinia binotata-KRP,3,II,7.810106716,0.123125996,8,0.12,98.65940566,0.087478738,99,0.09,high,poor,extractive
Nandinia binotata-NNN,Nandinia binotata,NNN,-0.345175978,stable,stable,AF,LC,2000,MAMMALIA,Omnivore,Nandinia binotata-NNN,5,I,16.24050489,0.073698374,16,0.07,276.1743544,0.120274931,276,0.12,low,fair,remote
Nandinia binotata-UDZ,Nandinia binotata,UDZ,0.279850205,increasing,increasing,AF,LC,2000,MAMMALIA,Omnivore,Nandinia binotata-UDZ,5,II,134.345486,1.408179054,134,1.41,21094.56073,9.92314925,21095,9.92,low,good,extractive
Nasua narica-BCI,Nasua narica,BCI,-0.853788904,decreasing,decreasing,LA,LC,4030,MAMMALIA,Omnivore,Nasua narica-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Nasua narica-VB,Nasua narica,VB,-0.141665656,stable,decreasing,LA,LC,4030,MAMMALIA,Omnivore,Nasua narica-VB,7,III,35.26820071,0.17330165,35,0.17,21659.47616,3.772207119,21659,3.77,low,fair,settled
Nasua nasua-BCI,Nasua nasua,BCI,0.425039755,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Nasua nasua-CAX,Nasua nasua,CAX,-0.035068706,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-CAX,3,I,23.70175611,0.106911536,24,0.11,1329.915313,0.464138634,1330,0.46,low,good,remote
Nasua nasua-COU,Nasua nasua,COU,-0.479836728,stable,decreasing,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
Nasua nasua-CSN,Nasua nasua,CSN,-0.035291455,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-CSN,6,I,18.10520304,0.08154814,18,0.08,459.6538584,0.091397385,460,0.09,high,poor,remote
Nasua nasua-MAN,Nasua nasua,MAN,-1.438480114,decreasing,decreasing,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-MAN,2,II,20.34772221,0.062223552,20,0.06,17285.26535,2.008703657,17285,2.01,low,poor,extractive
Nasua nasua-YAN,Nasua nasua,YAN,0.065081312,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-YAN,3,I,9.406312988,0.055820581,9,0.06,11504.1431,3.502176894,11504,3.5,low,good,remote
Nasua nasua-YAS,Nasua nasua,YAS,0.261034043,stable,stable,LA,LC,3794,MAMMALIA,Omnivore,Nasua nasua-YAS,4,I,25.91068023,0.118947127,26,0.12,13861.36767,2.14253765,13861,2.14,high,poor,remote
Neofelis nebulosa-BBS,Neofelis nebulosa,BBS,-0.426880056,stable,stable,AS,VU,19852,MAMMALIA,Carnivore,Neofelis nebulosa-BBS,4,II,401.804668,2.033837674,402,2.03,18940.86683,5.129292085,18941,5.13,low,fair,settled
Neofelis nebulosa-PSH,Neofelis nebulosa,PSH,0.658483545,stable,stable,AS,VU,19852,MAMMALIA,Carnivore,Neofelis nebulosa-PSH,3,III,8048.884992,34.46749471,8049,34.47,82326.99625,37.92810111,82327,37.93,high,poor,settled
Neomorphus geoffroyi-BCI,Neomorphus geoffroyi,BCI,-0.575804054,decreasing,decreasing,LA,LC,350,AVES,Omnivore,Neomorphus geoffroyi-BCI,4,II/III,88.16360246,0.470960021,88,0.47,8506.658034,2.953168688,8507,2.95,low,fair,extractive
Neomorphus geoffroyi-COU,Neomorphus geoffroyi,COU,0.658483545,stable,increasing,LA,LC,350,AVES,Omnivore,Neomorphus geoffroyi-COU,3,I,34.61373067,0.181295054,35,0.18,742.4518385,0.202238964,742,0.2,low,good,remote
